,vehicleno,start,Customer City,s,ChargeIn,ChargeOut
1830,M7RKR0801JCA00240,2023-01-09 14:37:00,Thane,1,0-10,60-70
1831,M7RKR0801JCA00240,2023-01-10 02:09:00,Thane,1,20-30,80-90
1832,M7RKR0801JCA00240,2023-01-10 06:26:00,Thane,1,70-80,90-100
1833,M7RKR0801JCA00240,2023-01-10 18:32:00,Thane,1,70-80,90-100
1834,M7RKR0801JCA00240,2023-01-11 19:12:00,Thane,1,0-10,90-100
1835,M7RKR0801JCA00240,2023-01-12 14:57:00,Thane,1,20-30,90-100
1836,M7RKR0801JCA00240,2023-01-13 13:21:00,Thane,1,40-50,90-100
1837,M7RKR0801JCA00240,2023-01-14 15:03:00,Thane,1,80-90,90-100
1838,M7RKR0801JCA00240,2023-01-15 02:54:00,Thane,1,60-70,80-90
1839,M7RKR0801JCA00240,2023-01-15 06:38:00,Thane,1,10-20,20-30
1840,M7RKR0801JCA00240,2023-01-15 07:50:00,Thane,1,20-30,30-40
1841,M7RKR0801JCA00240,2023-01-15 10:26:00,Thane,1,30-40,40-50
1842,M7RKR0801JCA00240,2023-01-15 11:22:00,Thane,1,40-50,40-50
1843,M7RKR0801JCA00240,2023-01-15 12:57:00,Thane,1,20-30,30-40
1844,M7RKR0801JCA00240,2023-01-15 13:48:00,Thane,1,30-40,60-70
1845,M7RKR0801JCA00240,2023-01-15 16:33:00,Thane,1,50-60,90-100
1846,M7RKR0801JCA00240,2023-01-16 07:43:00,Thane,1,70-80,70-80
1847,M7RKR0801JCA00240,2023-01-16 09:23:00,Thane,1,70-80,80-90
1848,M7RKR0801JCA00240,2023-01-16 15:16:00,Thane,1,50-60,70-80
1849,M7RKR0801JCA00240,2023-01-16 19:35:00,Thane,1,50-60,90-100
1850,M7RKR0801JCA00240,2023-01-17 09:22:00,Thane,1,50-60,90-100
1851,M7RKR0801JCA00240,2023-01-17 16:02:00,Thane,1,90-100,90-100
1852,M7RKR0801JCA00240,2023-01-18 02:18:00,Thane,1,60-70,90-100
1853,M7RKR0801JCA00240,2023-01-18 15:40:00,Thane,1,60-70,80-90
1854,M7RKR0801JCA00240,2023-01-18 17:18:00,Thane,1,70-80,90-100
1855,M7RKR0801JCA00240,2023-01-19 15:45:00,Thane,1,40-50,80-90
1856,M7RKR0801JCA00241,2023-01-06 10:38:00,Mumbai,1,0-10,90-100
1857,M7RKR0801JCA00241,2023-01-10 08:19:00,Mumbai,1,40-50,90-100
1858,M7RKR0801JCA00241,2023-01-15 05:35:00,Mumbai,1,0-10,80-90
1859,M7RKR0801JCA00241,2023-01-18 14:52:00,Mumbai,1,60-70,90-100
1860,M7RKR0801JCA00242,2023-01-02 18:30:00,Thane,1,10-20,90-100
1861,M7RKR0801JCA00242,2023-01-09 17:14:00,Thane,1,0-10,90-100
1862,M7RKR0801JCA00242,2023-01-14 18:30:00,Thane,1,0-10,90-100
1863,M7RKR0801JCA00243,2023-01-03 14:58:00,Hyderabad,1,20-30,90-100
1864,M7RKR0801JCA00243,2023-01-09 04:16:00,Hyderabad,1,80-90,90-100
1865,M7RKR0801JCA00243,2023-01-17 13:28:00,Hyderabad,1,40-50,90-100
1866,M7RKR0801JCA00244,2023-01-02 04:12:00,Mumbai,1,50-60,90-100
1867,M7RKR0801JCA00244,2023-01-03 04:33:00,Mumbai,1,50-60,90-100
1868,M7RKR0801JCA00244,2023-01-03 09:00:00,Mumbai,1,70-80,90-100
1869,M7RKR0801JCA00244,2023-01-04 04:31:00,Mumbai,1,70-80,90-100
1870,M7RKR0801JCA00244,2023-01-05 04:45:00,Mumbai,1,50-60,70-80
1871,M7RKR0801JCA00244,2023-01-05 07:58:00,Mumbai,1,60-70,90-100
1872,M7RKR0801JCA00244,2023-01-06 04:14:00,Mumbai,1,70-80,90-100
1873,M7RKR0801JCA00244,2023-01-09 05:13:00,Mumbai,1,50-60,80-90
1874,M7RKR0801JCA00244,2023-01-12 04:13:00,Mumbai,1,40-50,80-90
1875,M7RKR0801JCA00244,2023-01-13 04:29:00,Mumbai,1,50-60,80-90
1876,M7RKR0801JCA00244,2023-01-14 05:01:00,Mumbai,1,60-70,90-100
1877,M7RKR0801JCA00244,2023-01-16 04:32:00,Mumbai,1,80-90,90-100
1878,M7RKR0801JCA00244,2023-01-18 04:39:00,Mumbai,1,40-50,90-100
1879,M7RKR0801JCA00244,2023-01-19 04:32:00,Mumbai,1,70-80,90-100
1880,M7RKR0801JCA00244,2023-01-19 12:47:00,Mumbai,1,50-60,60-70
1881,M7RKR0801JCA00245,2023-01-02 16:04:00,Thane,1,10-20,60-70
1882,M7RKR0801JCA00245,2023-01-03 00:19:00,Thane,1,60-70,90-100
1883,M7RKR0801JCA00245,2023-01-03 16:06:00,Thane,1,0-10,40-50
1884,M7RKR0801JCA00245,2023-01-04 01:51:00,Thane,1,40-50,90-100
1885,M7RKR0801JCA00245,2023-01-04 16:15:00,Thane,1,10-20,70-80
1886,M7RKR0801JCA00245,2023-01-05 00:51:00,Thane,1,70-80,90-100
1887,M7RKR0801JCA00245,2023-01-05 15:52:00,Thane,1,60-70,80-90
1888,M7RKR0801JCA00245,2023-01-06 15:31:00,Thane,1,60-70,90-100
1889,M7RKR0801JCA00245,2023-01-07 15:42:00,Thane,1,50-60,90-100
1890,M7RKR0801JCA00245,2023-01-09 05:40:00,Thane,1,60-70,70-80
1891,M7RKR0801JCA00245,2023-01-09 09:49:00,Thane,1,30-40,50-60
1892,M7RKR0801JCA00245,2023-01-09 16:07:00,Thane,1,20-30,30-40
1893,M7RKR0801JCA00245,2023-01-11 16:10:00,Thane,1,40-50,50-60
1894,M7RKR0801JCA00245,2023-01-13 16:57:00,Thane,1,50-60,90-100
1895,M7RKR0801JCA00245,2023-01-16 16:20:00,Thane,1,20-30,70-80
1896,M7RKR0801JCA00245,2023-01-17 00:58:00,Thane,1,70-80,90-100
1897,M7RKR0801JCA00245,2023-01-18 02:17:00,Thane,1,60-70,90-100
1898,M7RKR0801JCA00246,2023-01-01 08:43:00,Jalna,1,0-10,50-60
1899,M7RKR0801JCA00246,2023-01-01 17:19:00,Jalna,1,20-30,70-80
1900,M7RKR0801JCA00246,2023-01-02 15:10:00,Jalna,1,20-30,80-90
1901,M7RKR0801JCA00246,2023-01-03 16:12:00,Jalna,1,40-50,90-100
1902,M7RKR0801JCA00246,2023-01-04 15:46:00,Jalna,1,60-70,80-90
1903,M7RKR0801JCA00246,2023-01-05 14:15:00,Jalna,1,0-10,90-100
1904,M7RKR0801JCA00246,2023-01-07 04:25:00,Jalna,1,50-60,60-70
1905,M7RKR0801JCA00246,2023-01-07 05:31:00,Jalna,1,50-60,70-80
1906,M7RKR0801JCA00246,2023-01-07 06:40:00,Jalna,1,70-80,90-100
1907,M7RKR0801JCA00246,2023-01-07 16:02:00,Jalna,1,0-10,90-100
1908,M7RKR0801JCA00246,2023-01-08 08:23:00,Jalna,1,60-70,60-70
1909,M7RKR0801JCA00246,2023-01-08 13:47:00,Jalna,1,20-30,90-100
1910,M7RKR0801JCA00246,2023-01-09 08:37:00,Jalna,1,60-70,80-90
1911,M7RKR0801JCA00246,2023-01-10 16:12:00,Jalna,1,40-50,80-90
1912,M7RKR0801JCA00246,2023-01-11 09:22:00,Jalna,1,40-50,70-80
1913,M7RKR0801JCA00246,2023-01-11 14:36:00,Jalna,1,60-70,90-100
1914,M7RKR0801JCA00246,2023-01-12 08:09:00,Jalna,1,60-70,80-90
1915,M7RKR0801JCA00246,2023-01-12 15:57:00,Jalna,1,60-70,90-100
1916,M7RKR0801JCA00246,2023-01-13 17:54:00,Jalna,1,10-20,90-100
1917,M7RKR0801JCA00246,2023-01-15 07:28:00,Jalna,1,0-10,40-50
1918,M7RKR0801JCA00246,2023-01-15 11:55:00,Jalna,1,30-40,50-60
1919,M7RKR0801JCA00246,2023-01-15 14:49:00,Jalna,1,40-50,70-80
1920,M7RKR0801JCA00246,2023-01-16 08:16:00,Jalna,1,40-50,70-80
1921,M7RKR0801JCA00246,2023-01-17 07:18:00,Jalna,1,10-20,30-40
1922,M7RKR0801JCA00246,2023-01-17 10:31:00,Jalna,1,30-40,40-50
1923,M7RKR0801JCA00246,2023-01-17 16:18:00,Jalna,1,0-10,90-100
1924,M7RKR0801JCA00247,2023-01-01 08:22:00,Pune,1,0-10,90-100
1925,M7RKR0801JCA00247,2023-01-02 10:42:00,Pune,1,10-20,60-70
1926,M7RKR0801JCA00247,2023-01-02 16:18:00,Pune,1,40-50,70-80
1927,M7RKR0801JCA00247,2023-01-03 13:49:00,Pune,1,30-40,40-50
1928,M7RKR0801JCA00247,2023-01-06 02:35:00,Pune,1,80-90,90-100
1929,M7RKR0801JCA00247,2023-01-07 20:47:00,Pune,1,40-50,90-100
1930,M7RKR0801JCA00247,2023-01-09 02:35:00,Pune,1,50-60,60-70
1931,M7RKR0801JCA00247,2023-01-09 11:03:00,Pune,1,30-40,80-90
1932,M7RKR0801JCA00247,2023-01-10 01:36:00,Pune,1,70-80,90-100
1933,M7RKR0801JCA00247,2023-01-10 17:59:00,Pune,1,10-20,90-100
1934,M7RKR0801JCA00247,2023-01-12 10:59:00,Pune,1,20-30,90-100
1935,M7RKR0801JCA00247,2023-01-14 18:29:00,Pune,1,0-10,90-100
1936,M7RKR0801JCA00247,2023-01-16 17:59:00,Pune,1,0-10,60-70
1937,M7RKR0801JCA00247,2023-01-17 02:09:00,Pune,1,50-60,60-70
1938,M7RKR0801JCA00247,2023-01-17 02:53:00,Pune,1,60-70,80-90
1939,M7RKR0801JCA00247,2023-01-17 13:47:00,Pune,1,30-40,50-60
1940,M7RKR0801JCA00247,2023-01-18 17:58:00,Pune,1,0-10,90-100
1941,M7RKR0801JCA00250,2023-01-03 10:25:00,Sangli,1,70-80,80-90
1942,M7RKR0801JCA00250,2023-01-04 09:51:00,Sangli,1,30-40,70-80
1943,M7RKR0801JCA00250,2023-01-06 11:46:00,Sangli,1,10-20,60-70
1944,M7RKR0801JCA00250,2023-01-07 06:45:00,Sangli,1,60-70,70-80
1945,M7RKR0801JCA00250,2023-01-09 08:37:00,Sangli,1,20-30,80-90
1946,M7RKR0801JCA00250,2023-01-12 06:57:00,Sangli,1,60-70,70-80
1947,M7RKR0801JCA00250,2023-01-14 02:51:00,Sangli,1,0-10,60-70
1948,M7RKR0801JCA00250,2023-01-15 05:55:00,Sangli,1,20-30,80-90
1949,M7RKR0801JCA00250,2023-01-16 16:24:00,Sangli,1,0-10,50-60
1950,M7RKR0801JCA00250,2023-01-18 03:40:00,Sangli,1,40-50,80-90
1951,M7RKR0801JCA00251,2023-01-02 02:43:00,Jalgaon,1,40-50,90-100
1952,M7RKR0801JCA00251,2023-01-02 09:54:00,Jalgaon,1,50-60,90-100
1953,M7RKR0801JCA00251,2023-01-03 02:47:00,Jalgaon,1,40-50,90-100
1954,M7RKR0801JCA00251,2023-01-03 12:50:00,Jalgaon,1,40-50,90-100
1955,M7RKR0801JCA00251,2023-01-04 02:45:00,Jalgaon,1,40-50,90-100
1956,M7RKR0801JCA00251,2023-01-04 14:49:00,Jalgaon,1,30-40,90-100
1957,M7RKR0801JCA00251,2023-01-06 02:48:00,Jalgaon,1,40-50,90-100
1958,M7RKR0801JCA00251,2023-01-06 12:43:00,Jalgaon,1,40-50,90-100
1959,M7RKR0801JCA00251,2023-01-07 02:57:00,Jalgaon,1,50-60,90-100
1960,M7RKR0801JCA00251,2023-01-07 12:22:00,Jalgaon,1,40-50,50-60
1961,M7RKR0801JCA00251,2023-01-07 14:48:00,Jalgaon,1,20-30,90-100
1962,M7RKR0801JCA00251,2023-01-10 02:57:00,Jalgaon,1,30-40,90-100
1963,M7RKR0801JCA00251,2023-01-10 14:45:00,Jalgaon,1,40-50,90-100
1964,M7RKR0801JCA00251,2023-01-10 17:57:00,Jalgaon,1,90-100,90-100
1965,M7RKR0801JCA00251,2023-01-11 02:50:00,Jalgaon,1,40-50,90-100
1966,M7RKR0801JCA00251,2023-01-11 15:01:00,Jalgaon,1,30-40,90-100
1967,M7RKR0801JCA00251,2023-01-13 02:51:00,Jalgaon,1,50-60,90-100
1968,M7RKR0801JCA00251,2023-01-13 12:43:00,Jalgaon,1,40-50,90-100
1969,M7RKR0801JCA00251,2023-01-14 02:58:00,Jalgaon,1,40-50,90-100
1970,M7RKR0801JCA00251,2023-01-14 12:37:00,Jalgaon,1,40-50,90-100
1971,M7RKR0801JCA00251,2023-01-16 02:39:00,Jalgaon,1,30-40,90-100
1972,M7RKR0801JCA00251,2023-01-16 12:40:00,Jalgaon,1,40-50,90-100
1973,M7RKR0801JCA00251,2023-01-17 02:44:00,Jalgaon,1,40-50,90-100
1974,M7RKR0801JCA00251,2023-01-17 12:47:00,Jalgaon,1,30-40,90-100
1975,M7RKR0801JCA00251,2023-01-18 02:46:00,Jalgaon,1,40-50,90-100
1976,M7RKR0801JCA00251,2023-01-18 12:36:00,Jalgaon,1,40-50,90-100
1977,M7RKR0801JCA00253,2023-01-09 02:33:00,Ahmednagar,1,60-70,90-100
1978,M7RKR0801JCA00253,2023-01-10 04:15:00,Ahmednagar,1,60-70,80-90
1979,M7RKR0801JCA00253,2023-01-13 03:06:00,Ahmednagar,1,60-70,90-100
1980,M7RKR0801JCA00253,2023-01-15 17:08:00,Ahmednagar,1,40-50,90-100
1981,M7RKR0801JCA00253,2023-01-18 06:24:00,Ahmednagar,1,60-70,80-90
1982,M7RKR0801JCA00255,2023-01-07 11:20:00,Pune,1,40-50,90-100
1983,M7RKR0801JCA00258,2023-01-01 06:24:00,Pune,1,40-50,70-80
1984,M7RKR0801JCA00258,2023-01-02 15:38:00,Pune,1,60-70,90-100
1985,M7RKR0801JCA00258,2023-01-04 11:57:00,Pune,1,30-40,90-100
1986,M7RKR0801JCA00258,2023-01-05 12:43:00,Pune,1,80-90,80-90
1987,M7RKR0801JCA00258,2023-01-06 12:22:00,Pune,1,40-50,50-60
1988,M7RKR0801JCA00258,2023-01-07 16:31:00,Pune,1,0-10,10-20
1989,M7RKR0801JCA00258,2023-01-08 06:34:00,Pune,1,20-30,40-50
1990,M7RKR0801JCA00258,2023-01-10 13:42:00,Pune,1,30-40,60-70
1991,M7RKR0801JCA00258,2023-01-11 13:42:00,Pune,1,30-40,70-80
1992,M7RKR0801JCA00258,2023-01-12 14:09:00,Pune,1,40-50,60-70
1993,M7RKR0801JCA00258,2023-01-13 13:20:00,Pune,1,10-20,20-30
1994,M7RKR0801JCA00258,2023-01-14 09:50:00,Pune,1,50-60,60-70
1995,M7RKR0801JCA00258,2023-01-14 14:00:00,Pune,1,40-50,70-80
1996,M7RKR0801JCA00258,2023-01-15 07:41:00,Pune,1,60-70,80-90
1997,M7RKR0801JCA00258,2023-01-17 10:45:00,Pune,1,10-20,30-40
1998,M7RKR0801JCA00258,2023-01-17 15:51:00,Pune,1,0-10,10-20
1999,M7RKR0801JCA00258,2023-01-17 17:05:00,Pune,1,10-20,20-30
2000,M7RKR0801JCA00258,2023-01-18 03:27:00,Pune,1,50-60,60-70
2001,M7RKR0801JCA00258,2023-01-18 11:53:00,Pune,1,50-60,50-60
2002,M7RKR0801JCA00258,2023-01-18 16:03:00,Pune,1,30-40,60-70
2003,M7RKR0801JCA00258,2023-01-19 09:43:00,Pune,1,40-50,70-80
2004,M7RKR0801JCA00260,2023-01-02 13:35:00,Thane,1,20-30,50-60
2005,M7RKR0801JCA00260,2023-01-04 11:32:00,Thane,1,20-30,70-80
2006,M7RKR0801JCA00260,2023-01-06 13:16:00,Thane,1,50-60,80-90
2007,M7RKR0801JCA00260,2023-01-07 12:37:00,Thane,1,60-70,90-100
2008,M7RKR0801JCA00260,2023-01-09 11:57:00,Thane,1,60-70,90-100
2009,M7RKR0801JCA00260,2023-01-12 13:00:00,Thane,1,30-40,60-70
2010,M7RKR0801JCA00260,2023-01-14 06:04:00,Thane,1,20-30,40-50
2011,M7RKR0801JCA00260,2023-01-14 12:39:00,Thane,1,40-50,70-80
2012,M7RKR0801JCA00260,2023-01-16 12:03:00,Thane,1,40-50,80-90
2013,M7RKR0801JCA00260,2023-01-17 04:22:00,Thane,1,70-80,90-100
2014,M7RKR0801JCA00260,2023-01-18 10:11:00,Thane,1,20-30,90-100
2015,M7RKR0801JCA00262,2023-01-03 19:22:00,Mumbai,1,30-40,90-100
2016,M7RKR0801JCA00262,2023-01-07 07:43:00,Mumbai,1,50-60,90-100
2017,M7RKR0801JCA00262,2023-01-10 06:53:00,Mumbai,1,30-40,90-100
2018,M7RKR0801JCA00262,2023-01-18 15:56:00,Mumbai,1,20-30,90-100
2019,M7RKR0801JCA00263,2023-01-01 19:14:00,Aurangabad,1,50-60,90-100
2020,M7RKR0801JCA00263,2023-01-02 10:27:00,Aurangabad,1,50-60,80-90
2021,M7RKR0801JCA00263,2023-01-02 18:30:00,Aurangabad,1,40-50,90-100
2022,M7RKR0801JCA00263,2023-01-04 13:39:00,Aurangabad,1,30-40,90-100
2023,M7RKR0801JCA00263,2023-01-04 23:56:00,Aurangabad,1,90-100,90-100
2024,M7RKR0801JCA00263,2023-01-06 02:16:00,Aurangabad,1,70-80,90-100
2025,M7RKR0801JCA00263,2023-01-06 16:50:00,Aurangabad,1,20-30,90-100
2026,M7RKR0801JCA00263,2023-01-07 17:00:00,Aurangabad,1,20-30,90-100
2027,M7RKR0801JCA00263,2023-01-08 23:44:00,Aurangabad,1,50-60,90-100
2028,M7RKR0801JCA00263,2023-01-09 18:20:00,Aurangabad,1,20-30,90-100
2029,M7RKR0801JCA00263,2023-01-10 17:08:00,Aurangabad,1,10-20,90-100
2030,M7RKR0801JCA00263,2023-01-12 06:24:00,Aurangabad,1,50-60,80-90
2031,M7RKR0801JCA00263,2023-01-12 15:07:00,Aurangabad,1,50-60,90-100
2032,M7RKR0801JCA00263,2023-01-14 11:55:00,Aurangabad,1,10-20,90-100
2033,M7RKR0801JCA00263,2023-01-15 17:12:00,Aurangabad,1,50-60,90-100
2034,M7RKR0801JCA00263,2023-01-16 00:27:00,Aurangabad,1,90-100,90-100
2035,M7RKR0801JCA00263,2023-01-16 15:38:00,Aurangabad,1,20-30,90-100
2036,M7RKR0801JCA00263,2023-01-17 18:15:00,Aurangabad,1,0-10,90-100
2037,M7RKR0801JCA00264,2023-01-07 17:34:00,Gulbarga,1,10-20,90-100
2038,M7RKR0801JCA00264,2023-01-09 16:01:00,Gulbarga,1,0-10,90-100
2039,M7RKR0801JCA00264,2023-01-13 14:41:00,Gulbarga,1,10-20,90-100
2040,M7RKR0801JCA00264,2023-01-14 17:50:00,Gulbarga,1,70-80,90-100
2041,M7RKR0801JCA00264,2023-01-15 12:26:00,Gulbarga,1,30-40,50-60
2042,M7RKR0801JCA00264,2023-01-16 17:00:00,Gulbarga,1,10-20,90-100
2043,M7RKR0801JCA00269,2023-01-05 11:32:00,Mumbai,1,0-10,70-80
2044,M7RKR0801JCA00269,2023-01-05 22:49:00,Mumbai,1,60-70,90-100
2045,M7RKR0801JCA00270,2023-01-02 13:34:00,Jalna,1,10-20,70-80
2046,M7RKR0801JCA00270,2023-01-06 08:44:00,Jalna,1,0-10,50-60
2047,M7RKR0801JCA00270,2023-01-07 08:35:00,Jalna,1,40-50,80-90
2048,M7RKR0801JCA00270,2023-01-07 11:48:00,Jalna,1,80-90,90-100
2049,M7RKR0801JCA00270,2023-01-11 04:58:00,Jalna,1,0-10,70-80
2050,M7RKR0801JCA00270,2023-01-14 05:53:00,Jalna,1,0-10,20-30
2051,M7RKR0801JCA00270,2023-01-14 13:57:00,Jalna,1,10-20,70-80
2052,M7RKR0801JCA00270,2023-01-18 14:11:00,Jalna,1,0-10,80-90
2053,M7RKR0801JCA00271,2023-01-01 14:31:00,Pune,1,40-50,60-70
2054,M7RKR0801JCA00271,2023-01-02 03:59:00,Pune,1,10-20,90-100
2055,M7RKR0801JCA00271,2023-01-03 03:57:00,Pune,1,30-40,90-100
2056,M7RKR0801JCA00271,2023-01-06 04:09:00,Pune,1,30-40,90-100
2057,M7RKR0801JCA00271,2023-01-09 04:06:00,Pune,1,20-30,90-100
2058,M7RKR0801JCA00271,2023-01-11 04:23:00,Pune,1,20-30,60-70
2059,M7RKR0801JCA00271,2023-01-12 02:00:00,Pune,1,30-40,40-50
2060,M7RKR0801JCA00271,2023-01-12 04:24:00,Pune,1,20-30,90-100
2061,M7RKR0801JCA00271,2023-01-16 04:09:00,Pune,1,0-10,90-100
2062,M7RKR0801JCA00271,2023-01-17 03:42:00,Pune,1,50-60,90-100
2063,M7RKR0801JCA00271,2023-01-19 04:11:00,Pune,1,20-30,90-100
2064,M7RKR0801JCA00273,2023-01-06 10:23:00,Thane,1,40-50,80-90
2065,M7RKR0801JCA00273,2023-01-15 14:00:00,Thane,1,10-20,90-100
2066,M7RKR0801JCA00273,2023-01-19 04:00:00,Thane,1,60-70,80-90
2067,M7RKR0801JCA00273,2023-01-19 09:22:00,Thane,1,70-80,90-100
2068,M7RKR0801JCA00275,2023-01-01 02:07:00,Raigad,1,10-20,30-40
2069,M7RKR0801JCA00275,2023-01-01 03:14:00,Raigad,1,30-40,90-100
2070,M7RKR0801JCA00277,2023-01-01 16:17:00,Raigad,1,80-90,90-100
2071,M7RKR0801JCA00277,2023-01-02 16:39:00,Raigad,1,30-40,80-90
2072,M7RKR0801JCA00277,2023-01-03 04:28:00,Raigad,1,80-90,90-100
2073,M7RKR0801JCA00277,2023-01-04 18:44:00,Raigad,1,40-50,60-70
2074,M7RKR0801JCA00277,2023-01-05 15:42:00,Raigad,1,70-80,90-100
2075,M7RKR0801JCA00277,2023-01-06 16:06:00,Raigad,1,0-10,90-100
2076,M7RKR0801JCA00277,2023-01-07 10:04:00,Raigad,1,50-60,90-100
2077,M7RKR0801JCA00277,2023-01-07 16:11:00,Raigad,1,50-60,60-70
2078,M7RKR0801JCA00277,2023-01-07 18:33:00,Raigad,1,50-60,80-90
2079,M7RKR0801JCA00277,2023-01-08 13:17:00,Raigad,1,40-50,90-100
2080,M7RKR0801JCA00277,2023-01-08 17:55:00,Raigad,1,90-100,90-100
2081,M7RKR0801JCA00277,2023-01-09 15:08:00,Raigad,1,70-80,90-100
2082,M7RKR0801JCA00277,2023-01-10 11:42:00,Raigad,1,80-90,90-100
2083,M7RKR0801JCA00277,2023-01-11 10:44:00,Raigad,1,70-80,90-100
2084,M7RKR0801JCA00277,2023-01-11 17:31:00,Raigad,1,80-90,90-100
2085,M7RKR0801JCA00277,2023-01-14 11:00:00,Raigad,1,60-70,70-80
2086,M7RKR0801JCA00277,2023-01-14 12:49:00,Raigad,1,60-70,80-90
2087,M7RKR0801JCA00277,2023-01-14 15:13:00,Raigad,1,80-90,90-100
2088,M7RKR0801JCA00277,2023-01-15 04:04:00,Raigad,1,50-60,50-60
2089,M7RKR0801JCA00277,2023-01-15 05:57:00,Raigad,1,40-50,50-60
2090,M7RKR0801JCA00277,2023-01-15 06:52:00,Raigad,1,40-50,90-100
2091,M7RKR0801JCA00277,2023-01-17 16:38:00,Raigad,1,60-70,90-100
2092,M7RKR0801JCA00283,2023-01-03 12:34:00,Pune,1,20-30,80-90
2093,M7RKR0801JCA00283,2023-01-07 18:07:00,Pune,1,40-50,90-100
2094,M7RKR0801JCA00283,2023-01-13 01:02:00,Pune,1,20-30,20-30
2095,M7RKR0801JCA00283,2023-01-13 12:15:00,Pune,1,10-20,80-90
2096,M7RKR0801JCA00283,2023-01-14 11:52:00,Pune,1,30-40,70-80
2097,M7RKR0801JCA00283,2023-01-14 14:47:00,Pune,1,70-80,90-100
2098,M7RKR0801JCA00283,2023-01-19 01:36:00,Pune,1,50-60,60-70
2099,M7RKR0801JCA00284,2023-01-03 04:13:00,Talegaon Dabhade,1,0-10,50-60
2100,M7RKR0801JCA00284,2023-01-03 08:38:00,Talegaon Dabhade,1,50-60,90-100
2101,M7RKR0801JCA00284,2023-01-04 04:05:00,Talegaon Dabhade,1,20-30,70-80
2102,M7RKR0801JCA00284,2023-01-04 08:19:00,Talegaon Dabhade,1,70-80,90-100
2103,M7RKR0801JCA00284,2023-01-04 11:08:00,Talegaon Dabhade,1,60-70,70-80
2104,M7RKR0801JCA00284,2023-01-04 11:58:00,Talegaon Dabhade,1,70-80,90-100
2105,M7RKR0801JCA00284,2023-01-05 04:14:00,Talegaon Dabhade,1,20-30,50-60
2106,M7RKR0801JCA00284,2023-01-05 06:50:00,Talegaon Dabhade,1,50-60,60-70
2107,M7RKR0801JCA00284,2023-01-05 08:23:00,Talegaon Dabhade,1,60-70,90-100
2108,M7RKR0801JCA00284,2023-01-06 04:11:00,Talegaon Dabhade,1,20-30,40-50
2109,M7RKR0801JCA00284,2023-01-06 05:45:00,Talegaon Dabhade,1,30-40,50-60
2110,M7RKR0801JCA00284,2023-01-06 08:16:00,Talegaon Dabhade,1,50-60,90-100
2111,M7RKR0801JCA00284,2023-01-07 05:41:00,Talegaon Dabhade,1,10-20,60-70
2112,M7RKR0801JCA00284,2023-01-07 09:31:00,Talegaon Dabhade,1,60-70,90-100
2113,M7RKR0801JCA00284,2023-01-08 04:23:00,Talegaon Dabhade,1,0-10,70-80
2114,M7RKR0801JCA00284,2023-01-09 04:05:00,Talegaon Dabhade,1,0-10,10-20
2115,M7RKR0801JCA00284,2023-01-09 05:05:00,Talegaon Dabhade,1,10-20,90-100
2116,M7RKR0801JCA00284,2023-01-10 03:58:00,Talegaon Dabhade,1,20-30,70-80
2117,M7RKR0801JCA00284,2023-01-11 06:35:00,Talegaon Dabhade,1,0-10,20-30
2118,M7RKR0801JCA00284,2023-01-11 08:06:00,Talegaon Dabhade,1,30-40,90-100
2119,M7RKR0801JCA00284,2023-01-12 04:15:00,Talegaon Dabhade,1,10-20,10-20
2120,M7RKR0801JCA00284,2023-01-12 05:16:00,Talegaon Dabhade,1,10-20,80-90
2121,M7RKR0801JCA00284,2023-01-12 10:39:00,Talegaon Dabhade,1,80-90,90-100
2122,M7RKR0801JCA00284,2023-01-13 04:08:00,Talegaon Dabhade,1,20-30,20-30
2123,M7RKR0801JCA00284,2023-01-13 05:05:00,Talegaon Dabhade,1,20-30,50-60
2124,M7RKR0801JCA00284,2023-01-13 07:43:00,Talegaon Dabhade,1,50-60,60-70
2125,M7RKR0801JCA00284,2023-01-13 08:10:00,Talegaon Dabhade,1,50-60,60-70
2126,M7RKR0801JCA00284,2023-01-13 09:24:00,Talegaon Dabhade,1,60-70,90-100
2127,M7RKR0801JCA00284,2023-01-14 03:57:00,Talegaon Dabhade,1,20-30,50-60
2128,M7RKR0801JCA00284,2023-01-14 06:21:00,Talegaon Dabhade,1,50-60,80-90
2129,M7RKR0801JCA00284,2023-01-14 09:06:00,Talegaon Dabhade,1,80-90,90-100
2130,M7RKR0801JCA00284,2023-01-15 03:56:00,Talegaon Dabhade,1,80-90,90-100
2131,M7RKR0801JCA00284,2023-01-16 03:47:00,Talegaon Dabhade,1,90-100,90-100
2132,M7RKR0801JCA00284,2023-01-16 08:03:00,Talegaon Dabhade,1,90-100,90-100
2133,M7RKR0801JCA00284,2023-01-16 10:23:00,Talegaon Dabhade,1,80-90,90-100
2134,M7RKR0801JCA00284,2023-01-17 04:11:00,Talegaon Dabhade,1,20-30,40-50
2135,M7RKR0801JCA00284,2023-01-17 07:24:00,Talegaon Dabhade,1,30-40,50-60
2136,M7RKR0801JCA00284,2023-01-17 09:17:00,Talegaon Dabhade,1,50-60,90-100
2137,M7RKR0801JCA00284,2023-01-18 04:16:00,Talegaon Dabhade,1,10-20,20-30
2138,M7RKR0801JCA00284,2023-01-18 05:53:00,Talegaon Dabhade,1,30-40,40-50
2139,M7RKR0801JCA00284,2023-01-18 07:12:00,Talegaon Dabhade,1,20-30,50-60
2140,M7RKR0801JCA00284,2023-01-18 09:46:00,Talegaon Dabhade,1,40-50,90-100
